"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","382","test_exit","test","2025-11-13","passed","2025-11-13","Testopenaccount","test_openmanagedaccount","",""
"","296","test_investcountnull","test","2025-11-13","passed","2025-11-13","Test_QuotaApplication","test_QuotaApplication","",""
"","267","test_investhcountnull","test","2025-11-13","passed","2025-11-13","Test_QuotaApplication","test_QuotaApplication","",""
"","1554","test_rechargefail_moneyisnotnum2","test","2025-11-13","passed","2025-11-13","Test_rechargr","test_ recharge ","",""
"","372","test_applycount_fail_shuomingcountis0","test","2025-11-13","passed","2025-11-13","Test_ApplyLimit","test_applylimit","",""
"","314","test_Allisnull","test","2025-11-13","passed","2025-11-13","Testopenaccount","test_openmanagedaccount","",""
"","5072","test_zhucefail_mimacount17","test","2025-11-13","passed","2025-11-13","Testregis","test_rogis","",""
"","1113","test_success","test","2025-11-13","passed","2025-11-13","Testopenaccount","test_openmanagedaccount","",""
"","315","test_lenymorelimit","test","2025-11-13","passed","2025-11-13","Test_QuotaApplication","test_QuotaApplication","",""
"","989","test_renew","test","2025-11-13","passed","2025-11-13","Testregis","test_rogis","",""
"","498","test_applycount_fail_Captcha","test","2025-11-13","passed","2025-11-13","Test_ApplyLimit","test_applylimit","",""
"","4159","test_login_suecss","test","2025-11-13","passed","2025-11-13","Test_login","test_login","",""
"","3776","test_rechargefail_moneyis0","test","2025-11-13","passed","2025-11-13","Test_rechargr","test_ recharge ","",""
"","1424","test_recharge_success","test","2025-11-13","passed","2025-11-13","Test_rechargr","test_ recharge ","",""
"","1034","test_onlineapply_monthontnum","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply2","",""
"","5580","test_regis_success","test","2025-11-13","passed","2025-11-13","Testregis","test_rogis","",""
"","219","test_countmorelimit","test","2025-11-13","passed","2025-11-13","Test_QuotaApplication","test_QuotaApplication","",""
"","417","test_applycount_fail_countisnull","test","2025-11-13","passed","2025-11-13","Test_ApplyLimit","test_applylimit","",""
"","4675","test_inputmessage_itemnull","test","2025-11-13","passed","2025-11-13","Test_QuotaApplication","test_QuotaApplication","",""
"","4187","test_onlineapply_success","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply3","",""
"","367","test_lenylimitnull","test","2025-11-13","passed","2025-11-13","Test_QuotaApplication","test_QuotaApplication","",""
"","50990","test_onlineapply_detailisnull","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply3","",""
"","227","test_countmore","test","2025-11-13","passed","2025-11-13","Test_QuotaApplication","test_QuotaApplication","",""
"","3572","test_login_accountfail","test","2025-11-13","passed","2025-11-13","Test_login","test_login","",""
"","240","test_countisnull","test","2025-11-13","passed","2025-11-13","Test_QuotaApplication","test_QuotaApplication","",""
"","989","test_onlineapply_reisnull","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply","",""
"","2100","test_return_centrl","test","2025-11-13","passed","2025-11-13","Testopenaccount","test_openmanagedaccount","",""
"","851","test_onlineapply_fail_onlycity2","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply","",""
"","6160","test_zhucefail_mimacount5","test","2025-11-13","passed","2025-11-13","Testregis","test_rogis","",""
"","5788","test_onlineapply_month101","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply","",""
"","0","test_start","testbackend","2025-11-13","skipped","2025-11-13","","test_startbackend","",""
"","4083","test_rechargefail_moneyis1000000001","test","2025-11-13","passed","2025-11-13","Test_rechargr","test_ recharge ","",""
"","969","test_onlineapply_detail202","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply","",""
"","1095","test_touzifail_accountmore1000000","test","2025-11-13","passed","2025-11-13","Test_touzi","test_touzi","",""
"","252","test_nameisnum","test","2025-11-13","passed","2025-11-13","Testopenaccount","test_openmanagedaccount","",""
"","4372","test_onlineapply_fail_itemnull","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply","",""
"","1186","test_lenynull","test","2025-11-13","passed","2025-11-13","Test_QuotaApplication","test_QuotaApplication","",""
"","769","test_onlineapply_notnum","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply","",""
"","0","test_regis_fail_picturenull","test","2025-11-13","skipped","2025-11-13","Testregis","test_rogis","",""
"","954","test_onlineapply_reisfuhsu","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply","",""
"","203","test_inputmessage_usenull","test","2025-11-13","passed","2025-11-13","Test_QuotaApplication","test_QuotaApplication","",""
"","317","test_lenylesslimit","test","2025-11-13","passed","2025-11-13","Test_QuotaApplication","test_QuotaApplication","",""
"","359","test_applycount_fail_countisfloat","test","2025-11-13","passed","2025-11-13","Test_ApplyLimit","test_applylimit","",""
"","1100","test_onlineapply_fail_item51","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply","",""
"","2067","test_login_passfail","test","2025-11-13","passed","2025-11-13","Test_login","test_login","",""
"","272","test_nameonlyone","test","2025-11-13","passed","2025-11-13","Testopenaccount","test_openmanagedaccount","",""
"","1002","test_rechargefail_valicodeiseorr","test","2025-11-13","passed","2025-11-13","Test_rechargr","test_ recharge ","",""
"","2","test_start","test","2025-11-13","passed","2025-11-13","","test_start","",""
"","5274","test_rejis_fail_numbernull","test","2025-11-13","passed","2025-11-13","Testregis","test_rogis","",""
"","1816","test_rechargefail_moneyisnotnum","test","2025-11-13","passed","2025-11-13","Test_rechargr","test_ recharge ","",""
"","167","test_inputmessage","test","2025-11-13","passed","2025-11-13","Test_QuotaApplication","test_QuotaApplication","",""
"","236","test_countisfloat","test","2025-11-13","passed","2025-11-13","Test_QuotaApplication","test_QuotaApplication","",""
"","27758","test_zhucefail_mimacount","test","2025-11-13","passed","2025-11-13","Testregis","test_rogis","",""
"","6881","test_online_count200050","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply","",""
"","864","test_onlineapply_reis0","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply","",""
"","5544","test_onlineapply_fail_itemnull","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply2","",""
"","2111","test_success","test","2025-11-13","passed","2025-11-13","Test_touzi","test_touzi","",""
"","421","test_applycount_fail_countis100001","test","2025-11-13","passed","2025-11-13","Test_ApplyLimit","test_applylimit","",""
"","5453","test_success","test","2025-11-13","passed","2025-11-13","Test_dan","test_dangerous","",""
"","2315","test_switch","test","2025-11-13","passed","2025-11-13","Test_ApplyLimit","test_applylimit","",""
"","1540","test_rechargefail_moneyisnull","test","2025-11-13","passed","2025-11-13","Test_rechargr","test_ recharge ","",""
"","1041","test_touzifail_accountless50","test","2025-11-13","passed","2025-11-13","Test_touzi","test_touzi","",""
"","1025","test_touzifail_accountisnot50","test","2025-11-13","passed","2025-11-13","Test_touzi","test_touzi","",""
"","268","test_nameisnull","test","2025-11-13","passed","2025-11-13","Testopenaccount","test_openmanagedaccount","",""
"","887","test_onlineapply_fail_onlycity1","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply","",""
"","746","test_onlineapply_month11","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply3","",""
"","5351","test_regis_fail_messagenull","test","2025-11-13","passed","2025-11-13","Testregis","test_rogis","",""
"","6335","test_regis_fail_messagefail","test","2025-11-13","passed","2025-11-13","Testregis","test_rogis","",""
"","2569","test_touzifail_accountisnotint","test","2025-11-13","passed","2025-11-13","Test_touzi","test_touzi","",""
"","285","test_nameischar","test","2025-11-13","passed","2025-11-13","Testopenaccount","test_openmanagedaccount","",""
"","1032","test_touzifail_accountmorecan","test","2025-11-13","passed","2025-11-13","Test_touzi","test_touzi","",""
"","3002","test_usernameisnull","test","2025-11-13","passed","2025-11-13","Test_login","test_login","",""
"","3081","test_passwordisnull","test","2025-11-13","passed","2025-11-13","Test_login","test_login","",""
"","804","test_onlineapply_detailisnull","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply2","",""
"","826","test_rechargefail_valicodeisnull","test","2025-11-13","passed","2025-11-13","Test_rechargr","test_ recharge ","",""
"","5653","test_regis_fail","test","2025-11-13","passed","2025-11-13","Testregis","test_rogis","",""
"","998","test_onlineapply_monthnull","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply","",""
"","10829","test_applycount_success","test","2025-11-13","passed","2025-11-13","Test_ApplyLimit","test_applylimit","",""
"","5326","test_zhucefail_mimacount6","test","2025-11-13","passed","2025-11-13","Testregis","test_rogis","",""
"","970","test_onlineapply_countnull","test","2025-11-13","passed","2025-11-13","Test_onlineapply","test_onlineapply","",""
"","227","test_countless50","test","2025-11-13","passed","2025-11-13","Test_QuotaApplication","test_QuotaApplication","",""
"","6406","test_fail_null","test","2025-11-13","passed","2025-11-13","Test_dan","test_dangerous","",""
"","424","test_applylimit","test","2025-11-13","passed","2025-11-13","Test_ApplyLimit","test_applylimit","",""
"","0","test_applycount_fail_Captchaexpire","test","2025-11-13","skipped","2025-11-13","Test_ApplyLimit","test_applylimit","",""
"","480","test_choubiaolimitnull","test","2025-11-13","passed","2025-11-13","Test_QuotaApplication","test_QuotaApplication","",""
"","219","test_detailnull","test","2025-11-13","passed","2025-11-13","Test_QuotaApplication","test_QuotaApplication","",""
"","1006","test_touzifail_accountisnull","test","2025-11-13","passed","2025-11-13","Test_touzi","test_touzi","",""
"","2257","test_fail_notall","test","2025-11-13","passed","2025-11-13","Test_dan","test_dangerous","",""
"","1154","test_IDisnull","test","2025-11-13","passed","2025-11-13","Testopenaccount","test_openmanagedaccount","",""
